,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
50165,CRON,blue-team-2,10,10.7.102.26,db, pam_unix(cron:session): session closed for user root,20226.0,CRON,6,2019-03-19T11:14:01.949672+01:00,2019-03-19T11:14:01+01:00,1552990441949
125363,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:34:26 | 200 #033[0m|     970.198µs |       10.1.2.27 |  GET #033[0m    /api/v1/incidents,25367.0,gendpoint,6,2019-03-19T11:34:26.426293+01:00,2019-03-19T11:34:26+01:00,1552991666426
120592,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:33:06+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:33:06 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (10ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=10 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:33:06.449357+01:00,2019-03-19T11:33:06+01:00,1552991586449
141695,named,global,3,10.7.100.3,ns, client 4.122.55.6#38541 (govcert.ex): query: govcert.ex IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:38:59.175604+01:00,2019-03-19T11:38:59+01:00,1552991939175
117495,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:32:26+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:32:26 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=1 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:32:26.566991+01:00,2019-03-19T11:32:26+01:00,1552991546566
177858,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:48:04 | 200 #033[0m|    5.045979ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:48:04.494792+01:00,2019-03-19T11:48:04+01:00,1552992484494
184448,dbus-daemon,global,3,10.7.100.114,attacker4, [system] Successfully activated service 'org.freedesktop.nm_dispatcher',475.0,dbus-daemon,6,2019-03-19T11:49:39.277025+01:00,2019-03-19T11:49:39+01:00,1552992579277
13616,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:03:41+01:00"" level=info msg=""10.2.2.27 - global-app [19/Mar/2019:11:03:41 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.2.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25400.0,gendpoint,6,2019-03-19T11:03:41.168846+01:00,2019-03-19T11:03:41+01:00,1552989821168
185077,sudo,blue-team-2,10,10.7.102.45,desktop4,   nagios : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:49:49.223261+01:00,2019-03-19T11:49:49+01:00,1552992589223
4183,dhclient,blue-team-6,3,10.7.106.29,monitoring, DHCPACK of 10.0.2.29 from 10.0.2.1,869.0,dhclient,6,2019-03-19T11:01:09.903415+01:00,2019-03-19T11:01:09+01:00,1552989669903
393,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:00:07 | 200 #033[0m|    8.386359ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:00:07.685128+01:00,2019-03-19T11:00:07+01:00,1552989607685
179049,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:48:24+01:00"" level=info msg=""10.2.2.27 - global-app [19/Mar/2019:11:48:24 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.2.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25400.0,gendpoint,6,2019-03-19T11:48:24.396586+01:00,2019-03-19T11:48:24+01:00,1552992504396
